fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2023-2024,Dec,18,MAHARASHTRA,1802,THANE,284127,270.452087497052,25,41,403.926902602999,3355,2,10085,284101,12770,3289,105884,36253,42.13659,1214.420577703,10927,19413,29366,94175,253,131062,316214,13440,768.3570851,118998,93,64.23,3.47,105.14,
2023-2024,Dec,18,MAHARASHTRA,1803,RAIGAD,238049,276.811168791768,22,48,214.940072073,1546,56,17150,237322,6781,3090,53347,14489,0.0,871.873874073,10393,18153,29491,68859,175,174839,322739,18696,656.933802,101040,63,58.24,3.76,106.74,
2023-2024,Dec,18,MAHARASHTRA,1805,SINDHUDURG,329318,278.988505426367,23,120,275.444390756,5108,8,18893,329318,10342,4124,1121,341,42.23477,1236.438527056,14071,23579,40957,93957,280,127021,239747,24001,918.759366300004,132224,72,78.47,3.95,99.83,
2023-2024,Dec,18,MAHARASHTRA,1808,JALGAON,1827483,267.375796003771,35,119,2087.995224787,18469,28,32063,1827573,126335,32410,156933,38405,183.77129,7158.254371087,51708,80265,136398,336260,3593,650467,1235156,50532,4886.4878563,724940,92,57.23,1.02,103.53,
2023-2024,Dec,18,MAHARASHTRA,1820,Dharashiv,1386732,259.605483668305,42,130,1680.685655234,2025,47,23078,1380016,104431,25264,6272,1078,176.90716,5440.190026734,32532,50876,70712,187883,2973,315029,691953,25103,3582.5972115,522138,82,61.48,0.44,100.27,
2023-2024,Dec,18,MAHARASHTRA,1825,YAVATMAL,3313506,268.784659384954,33,420,2965.172630948,19543,19,31873,3313506,248259,39667,460406,71696,350.57506,12221.943506748,100215,148828,194945,452642,3783,656939,1369009,51416,8906.1958158,1358159,91,49.85,10.56,99.94,
2023-2024,Dec,18,MAHARASHTRA,1830,GADCHIROLI,2120322,236.713377141302,29,851,3858.108046699,9983,2,10003,2120322,223283,41266,925965,171149,194.79037,9071.98422916901,71511,130318,136296,397092,2016,228213,595301,19986,5019.08581247001,1037131,82,28.37,18.78,99.96,
2023-2024,Dec,18,MAHARASHTRA,1833,GONDIA,3943209,209.175002464996,28,295,8166.71596843898,20558,13,26671,3943212,370634,53482,744614,91229,267.94047,16682.870236639,137482,219063,238604,615375,2888,347005,828631,47229,8248.2137982,2426300,83,26.91,8.27,100.49,
2023-2024,Dec,18,MAHARASHTRA,1835,PALGHAR,3222131,243.262865217337,40,761,3790.245320563,14323,14,34787,3221260,11834,1876,2991818,350987,512.06504,12138.439732663,79543,156036,131115,392870,6593,295940,708446,49110,7836.1293721,1779153,84,22.91,12.63,102.36,
2023-2024,Nov,18,MAHARASHTRA,1804,RATNAGIRI,412861,270.962767078106,21,143,508.255888420999,7775,25,27127,412941,23966,8983,4283,1276,63.23232,1690.404568421,19188,29476,61127,138929,223,249171,469070,34902,1118.91636,175316,95,78.81,0.11,100.79,
