fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2023-2024,Jan,18,MAHARASHTRA,1823,AKOLA,902873,262.378889147713,26,1665,331.51519991,5952,3,17734,935858,156490,34202,42830,9343,140.3602,2927.36922431,35118,50836,81863,187645,1189,283646,549533,23686,2455.4938244,330624,89,35.71,0.7,104.09,NA
2023-2024,Jan,18,MAHARASHTRA,1826,WARDHA,855268,271.73419085672,41,151,987.056467676,3730,7,10550,892240,102703,16432,80788,13406,142.35564,3553.933252176,21749,36314,50284,123202,1709,213536,393688,14280,2424.5211445,322007,88,69.81,0.44,102.89,NA
2023-2024,Jan,18,MAHARASHTRA,1833,GONDIA,4590070,193.0608988667,32,316,8884.29451049098,21232,13,26903,4885997,443559,53500,878104,91302,339.95329,18657.197527291,148635,240157,238790,615712,5104,348228,830260,48135,9432.9497268,3074285,82,26.33,8.59,102.54,NA
2023-2024,March,18,MAHARASHTRA,1805,SINDHUDURG,367388,298.564817183498,25,135,431.826577696,7102,6,17426,412966,12781,4124,1418,341,47.92213,1712.719890626,16007,26837,41033,94069,550,128077,241120,24528,1232.97118293,172475,72,79.19,4.42,99.76,NA
2023-2024,March,18,MAHARASHTRA,1808,JALGAON,2097939,330.34434820516,34,153,3128.681330325,20209,18,32051,2110411,162106,32424,205433,38468,228.88284,10329.187632725,61136,95359,136850,336922,5908,661106,1248034,52260,6971.6234624,1009647,93,54.05,0.74,103.25,NA
2023-2024,March,18,MAHARASHTRA,1810,PUNE,428532,289.216389458678,29,92,1124.579515939,7005,55,22564,613775,32101,10714,70034,21741,50.11976,2949.837170339,20688,35154,57719,152852,1009,372872,800854,29569,1775.1378944,253310,93,75.86,0.16,106.29,NA
2023-2024,March,18,MAHARASHTRA,1813,SOLAPUR,857106,241.979862270326,31,81,1134.533062501,7329,14,19852,1172369,66151,15289,11587,2523,103.29541,4074.725364001,37662,63254,76117,176329,2037,546423,944581,27181,2836.8968915,455474,96,77.39,0.01,112.51,NA
2023-2024,March,18,MAHARASHTRA,1816,JALNA,4686595,327.634785472503,44,394,2779.477040975,7689,19,45098,4923821,208116,20008,36359,2986,390.66321,19302.290621375,109555,206950,150472,406988,15420,461264,1050265,52787,16132.1503704,2492407,76,56.31,0.51,99.54,NA
2023-2024,March,18,MAHARASHTRA,1821,LATUR,4019915,344.888542818672,48,218,5641.740396932,6920,1,28586,4173880,601861,56320,56214,3966,391.09995,20428.074257932,86938,144445,118010,300182,16103,383645,816517,35506,14395.233911,2149810,88,59.65,0.31,99.4,NA
2023-2024,March,18,MAHARASHTRA,1823,AKOLA,951679,313.226405223107,26,1934,548.182917505,6280,3,18365,1064041,196093,34228,56081,9343,148.60206,4029.642351905,40482,58609,81924,187743,1722,285179,551642,24645,3332.8573744,423379,89,37.14,0.85,107.58,NA
