fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2023-2024,May,18,MAHARASHTRA,1814,KOLHAPUR,57750,210.494340952381,13,13,61.739326669,309,612,11177,57750,10906,19358,121,294,0.84256,184.142368569,4201,7376,44335,109581,1,341257,601935,11486,121.5604819,25182,91,52.35,0,99.96,NA
2023-2024,May,18,MAHARASHTRA,1823,AKOLA,162676,164.573971329514,11,565,45.9122586,190,140,19868,162676,29657,33997,7431,9318,1,314.6346122,13981,19426,81115,186399,5,273032,534908,20058,267.7223536,59451,89,23.96,1.63,100.81,NA
2023-2024,May,18,MAHARASHTRA,1825,YAVATMAL,789911,165.622944559577,17,176,180.4265911,660,334,43943,789911,51277,39564,98882,71377,4.55214,1493.2525887,44675,64769,192997,449509,187,646048,1355024,44603,1308.2738576,332217,91,50.81,16.06,100.24,NA
2023-2024,May,18,MAHARASHTRA,1826,WARDHA,179694,183.964889979633,20,54,138.589559496,396,133,10996,179694,20553,16337,14604,13228,3.06556,472.228988896001,8786,14101,48911,120806,61,202035,381789,11392,330.573869400001,70849,87,70.41,0.16,106.39,NA
2023-2024,May,18,MAHARASHTRA,1829,CHANDRAPUR,846085,140.734787899561,16,339,861.683461616,1360,108,32168,846085,93948,66252,220688,108233,3.04445,2055.463841816,50628,83999,173828,500468,57,364691,899410,33528,1190.7359302,451950,79,31.14,15.97,104.62,NA
2023-2024,May,18,MAHARASHTRA,1831,NANDURBAR,197969,150.443576115452,15,20,92.130171,302,342,53159,197969,6518,12373,160828,342322,8.38344,398.3452542,12458,18267,167615,404885,31,504287,1046737,53461,297.8316432,83181,80,37.42,10.27,100.11,NA
2023-2024,Dec,18,MAHARASHTRA,1811,SATARA,702366,269.835451886908,30,174,741.552911484,5582,66,14246,702366,41134,12083,3178,899,114.60056,2751.385941484,22845,35665,68311,152384,1325,397438,749265,19828,1895.23247,298431,88,52.99,1.74,99.95,NA
2023-2024,Dec,18,MAHARASHTRA,1813,SOLAPUR,751899,259.943450866328,28,54,680.706192422,6276,19,19243,758085,45881,15252,7184,2523,81.87433,2733.172831922,26828,44803,75194,174806,1046,538310,932755,25519,1970.5923095,279936,96,70.53,0.01,103.23,NA
2023-2024,Dec,18,MAHARASHTRA,1814,KOLHAPUR,368053,270.898002298582,24,46,542.928257412,3850,62,9694,368053,56266,19510,766,297,67.8765,1607.852981812,14767,26038,46029,112615,324,347623,612273,13544,997.0482244,157208,92,42.52,0,101.31,NA
2023-2024,Dec,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,6502249,245.719897957325,48,855,5351.963028501,7801,12,68528,6480132,204046,27605,103181,11939,453.9143,21728.851066401,134170,237157,211563,568567,16618,659583,1410132,76329,15922.9737379,2673355,94,71.51,0.61,109.6,NA
2023-2024,Dec,18,MAHARASHTRA,1828,BHANDARA,3130890,189.980539098383,25,4969,2902.7780524,13877,6,16138,3130820,391509,62546,248186,34182,272.86859,9123.5953566,122281,199780,192707,463612,1391,284116,629134,30015,5947.9487142,1900086,84,26.46,17.41,101.77,NA
2023-2024,April,18,MAHARASHTRA,1811,SATARA,22145,220.132490404154,11,12,106.873751475,394,1224,15711,22145,991,11958,77,892,0.353,155.975091475,1968,2910,66694,149529,1,389219,736503,16105,48.74834,9926,86,75.41,2.63,99.86,NA
2023-2024,April,18,MAHARASHTRA,1813,SOLAPUR,22208,252.063130403458,10,1,5.27787,376,703,21222,22208,2065,15106,234,2518,7.07813,68.33418,2170,3389,71783,168867,0,525119,912536,21598,55.97818,8047,95,75.37,0,104.73,NA
2023-2024,April,18,MAHARASHTRA,1823,AKOLA,19364,180.143978516835,10,74,45.9122586,103,420,18999,19364,2016,33978,1041,9310,0.249,81.0443386,1851,2663,81037,186273,0,272543,534220,19102,34.88308,8880,88,43.61,4.25,101.66,NA
2023-2024,April,18,MAHARASHTRA,1830,GADCHIROLI,265826,212.461629825525,13,267,688.702293926,827,140,14120,265826,25822,41224,109865,170827,0,1253.480546026,20404,34531,135759,396105,1,224626,605587,14947,564.7782521,131945,82,16.87,29.4,100,NA
2023-2024,April,18,MAHARASHTRA,1832,WASHIM,50030,343.694224465321,9,35,45.99056,211,179,17188,50030,4254,17706,1424,5982,9.92209,227.8628705,5302,7650,65686,158714,0,260132,523493,17399,171.9502205,19472,86,42.46,31.74,99.46,NA
2023-2024,April,18,MAHARASHTRA,1833,GONDIA,245904,203.435026880409,10,62,603.985261264,1731,96,33540,245904,25642,53301,51556,90831,34.6322,1138.872329764,23146,34213,237475,613283,0,340369,823422,35271,500.2548685,132535,83,34.37,2.32,99.99,NA
2023-2024,April,18,MAHARASHTRA,1834,HINGOLI,85876,244.411290698216,10,18,4.15369,473,295,19726,85876,12944,46302,14152,44330,0,214.04433,8298,13163,92055,239921,1,247994,576348,20199,209.89064,35624,88,85.87,0.99,99.93,NA
2023-2024,April,18,MAHARASHTRA,1835,PALGHAR,566941,162.567025933915,14,355,2.66412,669,142,38911,566941,2120,1849,533452,347433,6.08219,930.4054325,38948,70637,128348,388603,39,287594,718375,39580,921.6591225,334892,84,15.97,7.83,99.97,NA
2023-2024,March,18,MAHARASHTRA,1803,RAIGAD,262541,294.482945938547,24,64,326.288485223,1878,27,17678,306836,8998,3098,69035,14537,9.29666,1239.164837223,12313,21240,29620,69080,354,187625,338854,19556,903.579692,132848,65,60.53,3.59,108.84,NA
2023-2024,March,18,MAHARASHTRA,1806,NASHIK,2183559,298.586088722883,31,581,5278.555259231,15790,15,47163,2418384,49206,11637,907050,216144,205.08286,12704.596315131,76692,128110,183872,521075,3968,680934,1451550,62953,7220.9581959,915119,81,34.27,15.69,100,NA
2023-2024,March,18,MAHARASHTRA,1811,SATARA,813101,314.281944526338,30,207,996.081601903,6427,14,14565,915822,55612,12101,4204,901,140.07756,4014.422351903,30093,46912,68709,153070,2265,401140,755438,20992,2878.26319,433487,89,55.94,1.54,99.99,NA
2023-2024,March,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,7528069,343.920328253668,50,1335,7386.47769647299,9994,9,73324,8688037,322502,27724,183430,12008,479.07191,37745.4749756731,173442,311556,215975,575828,36003,676671,1434878,83318,29879.9253692001,4666468,95,75.12,0.48,121,NA
2023-2024,March,18,MAHARASHTRA,1819,NANDED,3654395,319.962923943529,40,184,5703.393404221,6953,28,43310,4256390,628500,77635,346161,36221,371.34618,19693.609482661,105233,169955,164589,441814,12688,650167,1473229,50263,13618.86989844,2182161,87,52.17,1.37,108.75,NA
2023-2024,March,18,MAHARASHTRA,1829,CHANDRAPUR,3723378,270.508591211466,39,676,6730.37970130199,16179,4,26971,4399255,559487,66427,1227044,108728,329.9022,18960.644625602,110160,197433,174851,502163,10117,377355,907467,43150,11900.3627243,2451934,80,28.33,11.6,101.09,NA
2023-2024,March,18,MAHARASHTRA,1830,GADCHIROLI,2540516,284.90644856136,41,1134,5663.778417157,11449,2,11603,3744092,381304,41290,1887839,171268,281.74551,16612.683475227,90485,173956,136527,397435,9203,231368,597694,23052,10667.15954807,2000651,83,32.46,17.02,99.96,NA
2023-2024,June,18,MAHARASHTRA,1820,Dharashiv,424880,207.417977973108,25,68,387.470133998,312,166,22844,421394,28323,25239,2358,1072,15.5828,1277.099848098,16439,24662,69331,185878,232,308873,684593,23156,874.0469141,157211,81,56.94,0.73,100.04,NA
2023-2024,June,18,MAHARASHTRA,1822,BULDHANA,359388,265.390863735145,13,52,10.3586,1225,74,24028,359381,46943,32220,8778,7729,9.93345,974.05639,27582,39089,109778,266402,3,468111,983346,25253,953.76434,128074,93,42.3,0.64,99.94,NA
2023-2024,June,18,MAHARASHTRA,1823,AKOLA,319656,241.72068773932,15,1052,50.1898586,1881,31,19171,319656,60188,34015,14961,9331,14.53637,837.4009102,21082,29612,81312,186757,51,274471,536672,21052,772.6746816,114425,89,21.6,1.44,100.55,NA
2023-2024,June,18,MAHARASHTRA,1825,YAVATMAL,1729807,230.117399351488,25,275,192.9260311,1277,116,44818,1729807,117570,39575,217901,71432,15.36035,4188.8732633,66754,97858,193294,450004,884,646949,1356162,46095,3980.5868822,719808,91,55.67,10.94,100.05,NA
2023-2024,June,18,MAHARASHTRA,1828,BHANDARA,2404963,167.404203993991,22,4477,433.222111992,3101,19,22296,2404963,304922,62533,184468,34170,17.70733,4476.938608492,108169,173896,192620,463443,308,282723,630054,25397,4026.0091665,1552368,86,24.45,32.52,102.57,NA
2023-2024,June,18,MAHARASHTRA,1832,WASHIM,326773,249.744903893529,15,99,117.712734632,433,43,17738,326773,30250,17709,11246,5987,19.23384,953.045489432,21156,31503,65928,159124,15,262053,526425,18171,816.0989148,126350,86,42.59,27.53,99.64,NA
2023-2024,May,18,MAHARASHTRA,1812,SANGLI,57304,156.077481502164,14,7,141.0410008,198,385,15891,57304,5941,8698,134,240,0.68327,231.1629108,3854,5401,48634,104410,0,307232,540101,16089,89.43864,21455,85,46.51,0.23,101.52,NA
2023-2024,May,18,MAHARASHTRA,1813,SOLAPUR,84573,185.279437767889,13,11,196.225673378,520,446,21314,85623,6904,15113,784,2518,7.07813,361.945616378,6489,10385,72392,169852,3,527004,915260,21834,158.641813,31420,95,73.25,0,101.27,NA
2023-2024,May,18,MAHARASHTRA,1830,GADCHIROLI,705970,193.091761165489,18,508,961.126657769,1386,65,14296,705970,71044,41224,282858,170845,1.5,2325.796564069,37255,65007,135776,396135,101,224794,603841,15682,1363.1699063,357456,82,23.98,31.17,100,NA
2023-2024,Feb,18,MAHARASHTRA,1810,PUNE,416718,262.776672383342,29,84,745.615698526001,6508,70,22783,547521,28719,10714,58222,21731,50.11976,2234.492922926,18666,31535,57617,152677,708,371373,798288,29291,1438.7574644,215745,93,75,0.18,107.12,NA
2023-2024,Feb,18,MAHARASHTRA,1811,SATARA,790687,265.674202230241,33,197,766.746311484,6270,20,14351,933352,51040,12098,3917,901,140.07756,3386.499351484,27492,42884,68637,152958,1987,400155,753846,20621,2479.67548,391650,89,55.34,1.66,99.96,NA
2023-2024,Feb,18,MAHARASHTRA,1818,BEED,6948050,215.744485072004,50,354,5832.991437842,2749,61,61386,8704819,144502,14713,14431,1744,482.55794,25095.716305842,171152,292114,232984,572912,23069,653619,1357285,64135,18780.166928,3535276,79,57.47,5.67,153.7,NA
2023-2024,Feb,18,MAHARASHTRA,1824,AMRAVATI,7518257,220.739148534938,86,1003,12740.243545094,22778,3,36690,9525981,948580,54225,3609733,140027,1026.16038,34793.973274094,110255,209881,187929,524498,30909,465392,1042367,59468,21027.569349,3955423,79,31.05,20.45,120.82,NA
2023-2024,Jan,18,MAHARASHTRA,1803,RAIGAD,249076,279.9309990034,23,54,214.940072073,1557,54,17352,253863,7134,3092,57051,14529,7.22066,932.801964073,10761,18743,29553,68972,216,184062,334315,18909,710.641232,107856,64,58.7,3.88,107.58,NA
2023-2024,Jan,18,MAHARASHTRA,1806,NASHIK,2071577,275.674259341794,31,505,3748.853696409,13420,16,48346,2118062,43250,11636,747040,216091,190.18675,9777.992177309,67520,113335,183404,520451,2932,674430,1443841,61766,5838.9517309,760683,81,35.31,16.15,99.82,NA
2023-2024,Jan,18,MAHARASHTRA,1810,PUNE,406555,275.30792466442,26,72,742.141188526001,5787,79,23111,429704,24994,10705,45489,21707,46.66327,1971.813623126,15984,26899,57357,152183,457,369460,795319,28898,1183.0091646,174537,93,73.4,0.21,105.14,NA
2023-2024,Jan,18,MAHARASHTRA,1819,NANDED,3466985,251.980942791037,41,160,3710.224609953,6494,33,42127,3666401,479589,77584,255672,36182,326.43559,13275.292006253,88695,142437,163616,440306,7614,643842,1464756,48621,9238.6318063,1594111,87,48.9,1.24,106.8,NA
2023-2024,Jan,18,MAHARASHTRA,1824,AMRAVATI,7334884,221.631504135457,76,927,12740.033865094,22007,4,36664,7861526,817965,54213,2783798,139879,982.27617,31145.928356894,103284,194741,187681,524096,25559,463440,1040322,58671,17423.6183218,3204713,79,30.73,17.48,116.2,NA
2023-2024,Jan,18,MAHARASHTRA,1828,BHANDARA,3155219,190.119249693701,25,5008,2980.424043,14240,6,16187,3198667,400804,62546,253297,34182,323.00021,9384.7059536,123034,201417,192715,463626,1523,284448,627605,30427,6081.2817006,1936403,84,26.37,16.55,101.72,NA
2023-2024,Jan,18,MAHARASHTRA,1831,NANDURBAR,1738954,258.794140414662,27,120,3478.729476066,15928,16,43853,1826305,55170,12407,1361940,343199,258.53705,8463.636852166,66531,99881,169636,408002,1820,520734,1065427,59781,4726.3703261,749356,81,28.29,3.12,104.14,NA
2023-2024,Jan,18,MAHARASHTRA,1832,WASHIM,904988,257.701047431216,26,203,410.449050945,2205,8,18763,973009,89987,17783,32314,6002,110.17941,3028.082845545,37248,57140,67070,160970,707,269377,537220,20968,2507.4543846,373557,88,52.54,15.36,99.72,NA
2023-2024,Jan,18,MAHARASHTRA,1834,HINGOLI,2211574,251.062262369925,44,101,2133.038415565,3365,14,22470,2366041,352810,46378,369184,44475,237.24344,8310.517918765,53345,87295,93972,243229,4991,255431,587680,25835,5940.2360632,940392,90,71.74,0.53,101.13,NA
2023-2024,April,18,MAHARASHTRA,1806,NASHIK,46537,175.597717944861,12,22,353.656284241,1323,1012,50026,46537,824,11582,28697,215416,0,435.374194241,3769,5968,179418,513767,2,655299,1433592,51349,81.71791,18221,78,56.29,2.02,99.94,NA
2023-2024,April,18,MAHARASHTRA,1807,DHULE,56777,346.784669848706,9,14,9.49367,166,229,27860,56777,4335,16404,15852,80841,0,206.387602,5780,9251,93735,261783,0,417938,898368,28026,196.893932,22589,88,23.02,0.33,99.88,NA
2023-2024,April,18,MAHARASHTRA,1809,AHMEDNAGAR,121628,288.123992255073,12,22,11.97994,1125,516,41522,121628,10145,35575,7980,27537,11.2605,373.6798893,9742,14586,155968,448639,1,751911,1871436,42647,350.4394493,50042,85,69.04,4.14,108.96,NA
2023-2024,April,18,MAHARASHTRA,1812,SANGLI,5294,384.644125425009,11,2,31.3996,58,594,15647,5294,390,8698,0,240,0,51.76266,450,641,48507,104192,0,306951,539673,15705,20.36306,1965,84,69.14,0.47,120.87,NA
2023-2024,April,18,MAHARASHTRA,1817,PARBHANI,13253,2266.84131743756,11,2,6.8210467,29,438,31073,13253,361,20540,18,2763,77.22313,384.4686565,1160,1805,122467,288275,0,372559,748252,31102,300.4244798,5280,89,67.51,0.2,100.71,NA
2023-2024,April,18,MAHARASHTRA,1819,NANDED,85608,251.285879590692,10,9,109.439856104,321,923,38524,85608,11935,77168,6380,36014,0,324.560671904,8088,11808,159343,433366,0,625573,1439828,38845,215.1208158,41193,87,61.72,1.83,117.36,NA
2023-2024,April,18,MAHARASHTRA,1827,NAGPUR,90077,157.85610089146,13,50,49.4439160479999,464,429,16506,90077,11231,33973,13039,30239,1.56773,193.203686048,6630,9063,100770,233699,0,260643,515009,16970,142.19204,39053,82,58.92,7.06,132.43,NA
2023-2024,April,18,MAHARASHTRA,1829,CHANDRAPUR,197235,242.650694095876,12,139,828.660896616,555,356,31456,197235,21699,66216,56674,108088,3.04445,1310.297443116,16134,25854,173643,500150,0,363613,898863,32011,478.5920965,94694,79,36.12,12.58,120.6,NA
2023-2024,April,18,MAHARASHTRA,1831,NANDURBAR,43010,145.423664264125,13,7,2.58087,259,509,52069,43010,660,12373,37211,342216,0,65.127588,3201,4621,167282,404258,0,502847,1048399,52328,62.546718,18224,80,33.04,4.12,100.7,NA
2023-2024,Aug,18,MAHARASHTRA,1804,RATNAGIRI,253991,288.036111952958,16,123,402.052735596999,4110,46,28777,254071,15006,8971,2013,1272,55.338,1189.206965597,14989,22657,60784,138352,64,247801,467525,32887,731.81623,109081,95,77.25,0.06,100.61,NA
2023-2024,Aug,18,MAHARASHTRA,1805,SINDHUDURG,184912,272.395210748898,17,93,153.578709484,1681,13,20508,184912,7162,4124,549,341,25.32122,682.591361584002,10293,16959,40838,93739,69,125775,238528,22189,503.691432100002,74661,69,72.2,4.56,99.9,NA
2023-2024,Aug,18,MAHARASHTRA,1806,NASHIK,1236061,272.419571434928,26,349,1561.04851391,5579,60,52193,1236055,27138,11615,407985,215896,13.85629,4942.16053761,47410,78618,181963,518143,1149,662403,1429122,57772,3367.2557337,451163,80,36.15,18.37,99.87,NA
2023-2024,Aug,18,MAHARASHTRA,1807,DHULE,662446,266.794289949671,25,70,383.181544171,2701,16,28035,662446,41601,16423,145718,81081,21.39752,2171.947166171,26381,43663,94332,262831,616,421049,899822,30736,1767.368102,262108,88,24.1,0.86,99.88,NA
2023-2024,Aug,18,MAHARASHTRA,1816,JALNA,2541016,266.848109276484,33,289,903.827359436002,2252,27,44525,2541297,99472,19875,17023,2984,218.45389,7903.684245036,75826,144103,145983,400016,3178,443460,1026609,46777,6781.4029956,1075728,73,58.97,0.32,99.43,NA
2023-2024,Aug,18,MAHARASHTRA,1820,Dharashiv,793356,256.223268978813,33,95,1010.016576641,780,90,23128,788445,56563,25244,3959,1076,21.98541,3052.181539741,23823,36394,69709,186423,960,310270,686231,23908,2020.1795531,296112,82,59.6,0.59,100.31,NA
2023-2024,Aug,18,MAHARASHTRA,1822,BULDHANA,645385,286.814871284735,16,80,826.654593696999,4001,25,23022,645378,86732,32230,15459,7735,77.20169,2754.896363697,39535,56534,109863,266567,44,468564,984017,27023,1851.04008,226685,92,42.18,0.85,99.94,NA
2023-2024,Aug,18,MAHARASHTRA,1826,WARDHA,531708,277.380743321523,32,122,620.581756128,1883,20,11191,531708,63808,16378,49067,13329,9.13778,2104.575138828,16546,26924,49528,121930,646,204070,384184,13074,1474.8556027,200672,87,64.92,0.34,103.64,NA
2023-2024,Aug,18,MAHARASHTRA,1831,NANDURBAR,849978,256.869357336308,21,68,753.118206355,3977,52,52450,849978,26611,12398,663503,342774,170.61284,3107.064072455,39816,58991,168841,406799,517,511421,1051604,56427,2183.3330261,354076,80,25.92,5.65,100.73,NA
2023-2024,Aug,18,MAHARASHTRA,1833,GONDIA,3317583,204.368328940075,26,281,5286.35835545799,11337,13,32586,3317583,310032,53400,644159,91026,70.43659,12136.883883758,126827,198816,237999,614241,1324,342767,824234,43923,6780.0889383,2109240,83,25.86,10.76,100.01,NA
2023-2024,July,18,MAHARASHTRA,1804,RATNAGIRI,201649,253.825850859662,15,110,214.839869546,2073,69,30154,201649,11083,8965,1559,1270,19.04057,745.717729546,12868,19386,60559,137987,34,247207,466853,32227,511.83729,85528,95,78.03,0.08,100.58,NA
2023-2024,July,18,MAHARASHTRA,1806,NASHIK,1019298,247.947695155068,24,310,967.695377421003,4081,117,51787,1019292,22856,11609,347041,215819,1.70735,3496.713748321,41482,68252,181604,517501,715,661186,1438729,55868,2527.3110209,375891,79,36.85,15.81,99.9,NA
2023-2024,July,18,MAHARASHTRA,1813,SOLAPUR,232001,240.08308826638,19,23,390.288659249,1280,203,21387,236534,18357,15152,1955,2519,8.06586,966.232651249,12344,19986,73305,171509,158,529442,919192,22667,567.878132,87738,95,66.17,0,101.18,NA
2023-2024,July,18,MAHARASHTRA,1817,PARBHANI,1561590,259.860894332059,29,118,208.190876484,257,94,33117,1561590,67668,20587,8191,2769,108.30951,4374.462126284,52877,84785,125657,292608,1279,379252,756052,33374,4057.9617398,603814,90,67.9,0.07,102.36,NA
2023-2024,July,18,MAHARASHTRA,1818,BEED,3476413,224.469354089676,33,193,1310.130667239,284,139,55921,3477170,53734,14485,6045,1729,11.55778,9126.869486839,104669,176535,220356,551904,5549,617730,1304930,56205,7805.1810396,1417835,79,65.03,7.95,111.45,NA
2023-2024,Oct,18,MAHARASHTRA,1803,RAIGAD,179529,278.13632337951,21,34,137.797387818,993,95,16691,179529,4999,3087,37969,14443,0,637.132747818,8496,14814,29263,68411,108,169855,316233,17684,499.33536,77465,61,56.1,4.55,105.5,NA
2023-2024,Oct,18,MAHARASHTRA,1804,RATNAGIRI,356378,276.899601075021,19,136,435.946584817,6612,34,27838,356458,20990,8983,3686,1276,55.338,1478.315364817,17830,27278,61043,138788,147,248529,468128,34450,987.03078,151561,95,78.41,0.06,100.71,NA
2023-2024,Oct,18,MAHARASHTRA,1808,JALGAON,1444182,263.15872770191,31,102,1141.246641809,15592,40,33916,1444182,105232,32377,127181,38331,110.45183,5052.189448709,45645,70269,135740,335210,2496,643036,1226118,49508,3800.4909769,571650,92,54.88,1.05,103.82,NA
2023-2024,Oct,18,MAHARASHTRA,1828,BHANDARA,2979264,186.609815575256,24,4893,2305.061962495,12062,7,17065,2979264,371772,62542,234583,34180,162.5664,8027.227418395,120223,195814,192687,463571,1067,283602,628848,29127,5559.5990559,1824836,85,27.36,20.07,101.88,NA
2023-2024,Oct,18,MAHARASHTRA,1832,WASHIM,630080,277.255179945404,20,166,373.785064955,1810,9,17802,630080,65511,17744,22587,5989,85.36216,2206.076662755,30423,45987,66398,159920,146,264576,530105,19612,1746.9294378,244789,87,43.81,16.99,99.49,NA
2023-2024,Oct,18,MAHARASHTRA,1835,PALGHAR,2519378,250.892699535361,35,678,3054.782173009,11901,21,35125,2519378,9572,1876,2338614,350385,434.46071,9810.178358709,71672,139248,130632,392140,3905,293861,706709,47026,6320.9354757,1396783,84,20.36,11.7,99.95,NA
2023-2024,Nov,18,MAHARASHTRA,1805,SINDHUDURG,296062,269.45155774804,22,112,216.736412056,4957,8,18775,296062,9546,4124,1028,341,34.32904,1048.809122956,13381,22344,40932,93910,231,126644,239155,23732,797.743670900004,118871,71,78.16,3.6,99.84,NA
2023-2024,Nov,18,MAHARASHTRA,1806,NASHIK,1777818,272.782010933701,29,468,3407.550992454,11553,19,48675,1777806,37509,11621,620319,215981,129.66562,8386.751569754,60817,102260,182590,519121,2215,664549,1431936,60228,4849.5349573,644973,80,35.46,16.75,99.84,NA
2023-2024,Nov,18,MAHARASHTRA,1810,PUNE,297401,283.986119616276,23,63,684.921662646001,4709,106,23196,297401,19167,10675,35490,21658,43.63311,1573.132332246,12636,21032,56741,150799,230,363318,786002,27905,844.5775596,124893,93,70.9,0.27,102.39,NA
2023-2024,Nov,18,MAHARASHTRA,1811,SATARA,600814,266.944688372774,29,155,699.463660084,5438,115,13943,600814,35473,12079,2748,897,93.30265,2396.607370084,20588,31852,68153,152126,1042,396126,747529,19381,1603.84106,256218,88,53.41,1.73,99.94,NA
2023-2024,Nov,18,MAHARASHTRA,1813,SOLAPUR,613804,260.631278878048,26,44,597.5898827,5546,37,19433,619848,39995,15228,5843,2523,68.9809,2282.0885522,23584,39191,74628,173874,749,534377,926993,24979,1615.5177695,229044,96,67.46,0.01,100.81,NA
2023-2024,Nov,18,MAHARASHTRA,1824,AMRAVATI,5295562,258.309689551364,59,808,10091.39291588,17118,6,39867,5295562,589126,54139,1631769,139372,751.90506,24522.24773808,88545,162743,186953,522833,15993,459316,1035719,56985,13678.9497622,2082642,79,31.06,13.26,103.64,NA
2023-2024,Nov,18,MAHARASHTRA,1830,GADCHIROLI,1657760,263.278123665066,27,732,3794.987016423,9339,2,9653,1657760,183690,41257,692884,171080,175.48394,8334.99037929301,61186,107326,136108,396781,1095,227381,594830,18992,4364.51942287001,803469,82,25.22,20.28,100,NA
2023-2024,Sep,18,MAHARASHTRA,1803,RAIGAD,150242,281.956516819531,20,28,122.568707591,811,115,16013,150242,4284,3081,31521,14405,0,546.185817591,7503,13040,29104,68086,76,169340,315606,16824,423.61711,65570,59,53.77,5.35,106,NA
2023-2024,Sep,18,MAHARASHTRA,1817,PARBHANI,1899403,275.262169916072,31,125,992.241963837,933,46,33173,1899373,89130,20642,10307,2771,169.27095,6389.768248437,60890,98154,127237,294688,1965,383487,760991,34106,5228.2553346,737132,90,65.29,0.05,102.4,NA
2023-2024,Sep,18,MAHARASHTRA,1825,YAVATMAL,2629673,270.405237419253,30,355,1775.518851808,10897,24,38289,2629673,201709,39629,368709,71541,279.70112,9165.993490808,86595,127548,193797,450829,2196,649276,1358926,49186,7110.773519,1090785,91,52.36,8.87,99.99,NA
2023-2024,Sep,18,MAHARASHTRA,1830,GADCHIROLI,1470809,263.80123760937,25,703,2280.287030748,6769,5,11151,1470809,159607,41252,605109,171006,130.95491,6291.254285618,56858,99869,135959,396500,847,225965,596876,17920,3880.01234487,724198,82,26.16,22.7,100,NA
2023-2024,Sep,18,MAHARASHTRA,1833,GONDIA,3469661,209.11083130888,26,284,5554.976089689,13245,13,31595,3469661,325042,53424,666959,91074,144.60429,12955.017340389,129196,203462,238161,614541,1675,344546,826609,44840,7255.4369607,2175006,83,27.07,9.66,100.04,NA
2023-2024,Dec,18,MAHARASHTRA,1807,DHULE,1193736,265.474155537901,32,101,682.636536839,7144,14,25454,1193304,66875,16441,244619,81154,90.25452,3940.804773839,36704,61462,94822,263660,1927,428385,908987,32598,3167.913717,468478,89,30.96,0.66,100.59,NA
2023-2024,Dec,18,MAHARASHTRA,1810,PUNE,362268,281.307008004775,25,67,736.064050126001,5310,89,23232,361909,22852,10684,39220,21669,46.66327,1800.802699726,14243,23938,57088,151600,319,365582,789512,28542,1018.0753796,149783,93,71.72,0.24,102.85,NA
2023-2024,Dec,18,MAHARASHTRA,1816,JALNA,4014398,260.659881225024,43,330,2278.25761113,5732,23,44248,4021049,152829,19939,26950,2985,343.31434,13102.83349853,93166,177524,148486,404031,8007,451816,1038034,49980,10481.2615474,1692939,75,58.15,0.23,99.42,NA
2023-2024,Dec,18,MAHARASHTRA,1817,PARBHANI,3801996,258.720152938769,46,171,1661.937747316,1642,30,34277,3801456,168022,20706,18294,2776,374.68771,11871.758234416,82250,134153,131216,300054,8503,394050,774486,35919,9835.1327771,1492465,90,69.59,0.04,105.05,NA
2023-2024,Dec,18,MAHARASHTRA,1818,BEED,6626671,244.265807459987,44,266,5293.52446153,2238,66,58449,6611727,111603,14572,10390,1733,479.41558,21923.12838513,148183,252553,226973,563022,15705,635026,1330239,60687,16150.1883436,2703305,79,58.98,5.79,130.97,NA
2023-2024,Dec,18,MAHARASHTRA,1822,BULDHANA,1046898,283.788666632916,20,110,1103.059147256,7103,12,22080,1046891,131153,32253,28059,7753,136.78675,4210.803907256,51764,75218,110225,267178,153,472868,988041,29183,2970.95801,361528,93,48.72,0.65,99.84,NA
2023-2024,Dec,18,MAHARASHTRA,1829,CHANDRAPUR,3288724,237.277347810922,34,539,5292.51651392799,14414,4,25543,3288393,381334,66399,833826,108588,286.35353,13381.481739928,94132,164948,174525,501633,3873,372600,903821,39957,7802.611696,1648009,79,33.05,12.17,101.42,NA
2023-2024,Dec,18,MAHARASHTRA,1832,WASHIM,792514,273.51097029433,23,182,392.198374955,1992,8,18206,792172,77281,17759,27518,5994,108.30636,2667.182058555,33760,51504,66791,160529,409,267459,534387,20198,2166.6773236,307047,87,49.66,14.46,99.47,NA
2023-2024,Dec,18,MAHARASHTRA,1834,HINGOLI,1926972,255.783289129679,39,90,2111.948495565,2953,17,22145,1926990,286844,46366,297558,44440,225.02164,7265.888538765,48670,79048,93534,242460,3374,253548,584661,25098,4928.9184032,769554,90,72.16,0.57,100.23,NA
